,0,1,2,3,4
0,1608595200000.0,32.0,0.0,1.0,927.0
1,1608595200000.0,31.0,0.0,1.0,927.0
2,1608595200000.0,30.0,0.0,1.0,927.0
3,1608595200000.0,29.0,0.0,1.0,927.0
4,1608595200000.0,28.0,0.0,1.0,927.0
5,1608595200000.0,27.0,0.0,1.0,927.0
6,1608595200000.0,26.0,0.0,1.0,927.0
7,1608595200000.0,25.0,0.0,1.0,927.0
8,1608595200000.0,24.0,0.0,1.0,927.0
9,1608595200000.0,23.0,0.0,1.0,927.0
10,1608595200000.0,22.0,0.0,1.0,927.0
11,1608595200000.0,21.0,0.0,1.0,927.0
12,1608595200000.0,20.0,0.0,1.0,927.0
13,1608595200000.0,19.0,0.0,1.0,927.0
14,1608595200000.0,18.0,0.0,1.0,927.0
15,1608595200000.0,17.0,0.0,1.0,927.0
16,1608595200000.0,16.0,0.0,1.0,927.0
17,1608595200000.0,15.0,0.0,1.0,927.0
18,1608595200000.0,14.0,0.0,1.0,927.0
19,1608595200000.0,13.0,0.0,1.0,927.0
20,1608595200000.0,12.0,0.0,1.0,927.0
21,1608595200000.0,11.0,0.0,1.0,927.0
22,1608595200000.0,10.0,0.0,1.0,927.0
23,1608595200000.0,9.0,0.0,1.0,927.0
24,1608595200000.0,8.0,0.0,1.0,927.0
25,1608595200000.0,7.0,0.0,1.0,927.0
26,1608595200000.0,6.0,0.0,1.0,927.0
27,1608595200000.0,5.0,0.0,1.0,927.0
28,1608595200000.0,4.0,0.0,1.0,927.0
29,1608595200000.0,3.0,0.0,1.0,927.0
30,1608595200000.0,2.0,0.0,1.0,927.0
31,1608595200000.0,1.0,0.0,1.0,927.0
32,1608595800000.0,32.0,0.0,1.0,927.0
33,1608595800000.0,31.0,0.0,1.0,927.0
34,1608595800000.0,30.0,0.0,1.0,927.0
35,1608595800000.0,29.0,0.0,1.0,927.0
36,1608595800000.0,28.0,0.0,1.0,927.0
37,1608595800000.0,27.0,0.0,1.0,927.0
38,1608595800000.0,26.0,0.0,1.0,927.0
39,1608595800000.0,25.0,0.0,1.0,927.0
40,1608595800000.0,24.0,0.0,1.0,927.0
41,1608595800000.0,23.0,0.0,1.0,927.0
42,1608595800000.0,22.0,0.0,1.0,927.0
43,1608595800000.0,21.0,0.0,1.0,927.0
44,1608595800000.0,20.0,0.0,1.0,927.0
45,1608595800000.0,19.0,0.0,1.0,927.0
