,Period,temperature_f,conditions_f
0,Tue15 Dec,-999,NaN
1,Wed16 Dec,-999,NaN
2,Thu17 Dec,-999,NaN
3,Fri18 Dec,-999,NaN
4,Sat19 Dec,-999,NaN
5,Sun20 Dec,-999,NaN
6,Mon21 Dec,-999,NaN
